IP:PORT, LOSS, DELAY
188.114.99.22:7152,0.00%,256 ms
188.114.97.164:7152,0.00%,265 ms
188.114.97.126:7152,0.00%,266 ms
188.114.99.73:7281,0.00%,266 ms
188.114.98.189:7281,0.00%,266 ms
188.114.97.200:7152,0.00%,270 ms
162.159.192.50:7281,0.00%,271 ms
188.114.98.240:7152,0.00%,271 ms
188.114.96.138:7281,0.00%,272 ms
162.159.195.202:7281,0.00%,272 ms
188.114.97.126:7281,0.00%,273 ms
188.114.97.169:7281,0.00%,273 ms
188.114.98.240:7281,0.00%,273 ms
162.159.192.110:7152,0.00%,274 ms
188.114.98.201:7152,0.00%,274 ms
188.114.96.224:7281,0.00%,274 ms
188.114.98.187:7152,0.00%,274 ms
188.114.99.160:7152,0.00%,274 ms
162.159.195.116:7281,0.00%,274 ms
188.114.99.111:7152,0.00%,275 ms
188.114.97.10:7152,0.00%,276 ms
188.114.96.207:7152,0.00%,276 ms
162.159.195.252:7152,0.00%,276 ms
188.114.98.201:7281,0.00%,277 ms
188.114.98.88:7152,0.00%,278 ms
162.159.192.192:7281,0.00%,278 ms
162.159.192.192:7152,0.00%,279 ms
188.114.96.101:7152,0.00%,279 ms
162.159.195.106:7152,0.00%,279 ms
188.114.99.246:7152,0.00%,279 ms
188.114.96.224:7152,0.00%,279 ms
162.159.195.222:7152,0.00%,280 ms
188.114.98.83:7152,0.00%,280 ms
162.159.195.200:7152,0.00%,280 ms
162.159.195.106:7281,0.00%,281 ms
188.114.97.53:7281,0.00%,281 ms
188.114.96.101:7281,0.00%,282 ms
188.114.97.169:7152,0.00%,282 ms
188.114.98.253:7152,0.00%,282 ms
188.114.97.94:7152,0.00%,285 ms
162.159.192.110:7281,0.00%,285 ms
188.114.98.20:7152,0.00%,285 ms
188.114.97.248:7152,0.00%,285 ms
162.159.195.195:7281,0.00%,286 ms
188.114.96.175:7281,0.00%,286 ms
188.114.99.192:7281,0.00%,286 ms
188.114.98.241:7281,0.00%,288 ms
162.159.195.62:7281,0.00%,289 ms
188.114.96.175:7152,0.00%,289 ms
188.114.99.192:7152,0.00%,290 ms
188.114.99.164:7152,0.00%,290 ms
188.114.96.36:7152,0.00%,291 ms
162.159.195.200:7281,0.00%,293 ms
188.114.96.183:7281,0.00%,294 ms
188.114.99.158:7281,0.00%,294 ms
188.114.96.202:7281,0.00%,294 ms
188.114.98.189:7152,0.00%,294 ms
188.114.97.37:7152,0.00%,294 ms
188.114.99.158:7152,0.00%,296 ms
162.159.195.62:7152,0.00%,296 ms
162.159.192.59:7152,0.00%,297 ms
188.114.96.183:7152,0.00%,297 ms
162.159.192.191:7152,0.00%,297 ms
188.114.96.202:7152,0.00%,297 ms
162.159.195.177:7152,0.00%,297 ms
188.114.96.209:7152,0.00%,299 ms
188.114.99.13:7152,0.00%,299 ms
162.159.195.93:7152,0.00%,300 ms
162.159.195.177:7281,0.00%,300 ms
188.114.99.81:7152,0.00%,300 ms
162.159.192.83:7152,0.00%,300 ms
188.114.97.119:7152,0.00%,301 ms
